Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Player-additional
74,Jack Fox,DET,26,P,12,0,,1,1,100.0,6,0,0.0,0,0.0,1,6,6.0,6.0,6.0,0.5,91.7,,0,0,0.0,6.00,6.00,,,FoxxJa01
75,Najee Harris,PIT,24,RB,12,12,,1,1,100.0,4,0,0.0,0,0.0,0,4,4.0,4.0,4.0,0.3,83.3,9.7,0,0,0.0,4.00,4.00,,,HarrNa00
76,Derrick Henry,TEN,28,RB,12,12,,2,2,100.0,4,1,50.0,0,0.0,1,3,2.0,12.0,2.0,0.3,118.7,75.7,0,0,0.0,2.00,12.00,,,HenrDe00
77,Mack Hollins,LVR,29,WR,13,12,,1,1,100.0,4,0,0.0,0,0.0,0,4,4.0,4.0,4.0,0.3,83.3,24.1,0,0,0.0,4.00,4.00,,,HollMa00
78,Braxton Berrios,NYJ,27,WR,12,2,,1,1,100.0,2,1,100.0,0,0.0,1,2,2.0,22.0,2.0,0.2,118.7,99.5,0,0,0.0,2.00,22.00,,,BerrBr00
79,Chase Claypool,2TM,24,WR,13,11,,1,1,100.0,1,1,100.0,0,0.0,1,1,1.0,21.0,1.0,0.1,118.7,100.0,0,0,0.0,1.00,21.00,0,0,ClayCh01
80,Rex Burkhead,HOU,32,RB,11,0,,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,3.3,0,0,0.0,0.00,0.00,,,BurkRe00
81,Amari Cooper,CLE,28,WR,12,12,,0,1,0.0,0,0,0.0,1,100.0,0,0,0.0,-45.0,,0.0,0.0,0.0,0,0,0.0,0.00,-45.00,,,CoopAm00
82,DeeJay Dallas,SEA,24,RB,12,0,,0,1,0.0,0,0,0.0,1,100.0,0,0,0.0,-45.0,,0.0,0.0,0.0,0,0,0.0,0.00,-45.00,,,DallDe00
83,Chase Daniel,LAC,36,QB,2,0,,0,2,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,27.4,1,1,33.3,-0.33,-0.33,,,DaniCh00
84,Leonard Fournette,TAM,27,RB,11,9,,0,1,0.0,0,0,0.0,1,100.0,0,0,0.0,-45.0,,0.0,0.0,0.0,0,0,0.0,0.00,-45.00,,,FourLe00
85,Chad Henne,KAN,37,QB,2,0,,0,2,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,3.5,0,0,0.0,0.00,0.00,,,HennCh01
86,Christian Kirk,JAX,26,WR,12,12,,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,11.3,0,0,0.0,0.00,0.00,,,KirkCh01
87,Cooper Kupp,LAR,29,WR,9,9,,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,3.3,0,0,0.0,0.00,0.00,,,KuppCo00
88,James Proche,BAL,26,WR,10,0,,0,1,0.0,0,0,0.0,1,100.0,0,0,0.0,-45.0,,0.0,0.0,0.0,0,0,0.0,0.00,-45.00,,,ProcJa00
89,Tommy Townsend,KAN,26,P,12,0,,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,,0,0,0.0,0.00,0.00,,,TownTo01
90,Garrett Wilson,NYJ,22,WR,12,7,,0,1,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,,0.0,39.6,0.9,0,0,0.0,0.00,0.00,,,WilsGa00
